Percentage served,Time in ms
0,8.131
1,17.768
2,20.233
3,22.005
4,23.341
5,24.611
6,25.751
7,26.801
8,27.666
9,28.575
10,29.473
11,30.267
12,31.070
13,31.966
14,32.758
15,33.522
16,34.221
17,35.060
18,35.847
19,36.568
20,37.212
21,37.938
22,38.559
23,39.289
24,39.870
25,40.381
26,40.908
27,41.689
28,42.319
29,42.885
30,43.436
31,43.924
32,44.392
33,44.953
34,45.419
35,45.962
36,46.494
37,46.941
38,47.381
39,47.796
40,48.226
41,48.732
42,49.229
43,49.693
44,50.144
45,50.508
46,50.996
47,51.426
48,51.746
49,52.118
50,52.447
51,52.876
52,53.305
53,53.866
54,54.289
55,54.748
56,55.197
57,55.575
58,55.905
59,56.282
60,56.642
61,57.068
62,57.475
63,57.852
64,58.300
65,58.736
66,59.192
67,59.623
68,60.083
69,60.528
70,61.010
71,61.473
72,61.852
73,62.365
74,62.878
75,63.513
76,63.979
77,64.407
78,64.901
79,65.422
80,65.979
81,66.529
82,67.079
83,67.700
84,68.238
85,68.967
86,69.769
87,70.502
88,71.309
89,72.168
90,73.096
91,74.129
92,75.208
93,76.362
94,77.930
95,79.699
96,81.756
97,84.442
98,88.407
99,95.428
100,1161.633
