Percentage served,Time in ms
0,6.955
1,17.623
2,19.551
3,21.087
4,22.400
5,23.653
6,24.880
7,25.898
8,26.955
9,28.005
10,28.991
11,30.008
12,30.970
13,31.763
14,32.538
15,33.431
16,34.312
17,34.978
18,35.797
19,36.406
20,37.147
21,37.764
22,38.452
23,39.104
24,39.663
25,40.287
26,40.868
27,41.430
28,42.005
29,42.581
30,43.178
31,43.741
32,44.208
33,44.620
34,45.175
35,45.671
36,46.169
37,46.696
38,47.142
39,47.636
40,48.057
41,48.638
42,49.168
43,49.623
44,49.993
45,50.372
46,50.790
47,51.229
48,51.535
49,51.996
50,52.301
51,52.712
52,53.038
53,53.544
54,53.965
55,54.391
56,54.825
57,55.263
58,55.702
59,56.080
60,56.544
61,57.001
62,57.391
63,57.783
64,58.210
65,58.671
66,59.106
67,59.562
68,59.979
69,60.433
70,60.803
71,61.243
72,61.757
73,62.292
74,62.768
75,63.354
76,63.919
77,64.444
78,64.989
79,65.599
80,66.235
81,66.892
82,67.623
83,68.447
84,69.185
85,70.081
86,71.055
87,72.217
88,73.489
89,74.524
90,75.988
91,77.714
92,79.551
93,81.216
94,83.516
95,86.216
96,90.464
97,95.871
98,104.424
99,133.123
100,3172.186
