starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 00:40:30 2022	1653172830	1	7	8	6
Sun May 22 00:40:31 2022	1653172831	1	8	9	7
Sun May 22 00:41:00 2022	1653172860	1	8	10	8
Sun May 22 00:40:44 2022	1653172844	1	9	10	8
Sun May 22 00:40:44 2022	1653172844	1	9	10	8
Sun May 22 00:40:27 2022	1653172827	2	8	10	5
Sun May 22 00:41:12 2022	1653172872	1	9	10	9
Sun May 22 00:41:06 2022	1653172866	1	9	10	9
Sun May 22 00:41:12 2022	1653172872	1	10	10	9
Sun May 22 00:41:12 2022	1653172872	1	10	11	9
Sun May 22 00:41:16 2022	1653172876	1	10	11	9
Sun May 22 00:40:37 2022	1653172837	1	11	11	10
Sun May 22 00:40:31 2022	1653172831	1	11	11	10
Sun May 22 00:40:29 2022	1653172829	1	10	11	9
Sun May 22 00:40:52 2022	1653172852	1	10	11	10
Sun May 22 00:41:08 2022	1653172868	1	11	11	10
Sun May 22 00:40:30 2022	1653172830	1	11	12	10
Sun May 22 00:40:55 2022	1653172855	1	11	12	10
Sun May 22 00:40:46 2022	1653172846	1	10	12	10
Sun May 22 00:40:59 2022	1653172859	1	11	12	10
Sun May 22 00:41:03 2022	1653172863	1	11	12	10
Sun May 22 00:41:16 2022	1653172876	1	11	12	11
Sun May 22 00:41:07 2022	1653172867	1	11	12	10
Sun May 22 00:41:03 2022	1653172863	1	12	12	11
Sun May 22 00:40:53 2022	1653172853	1	12	12	11
Sun May 22 00:41:14 2022	1653172874	1	12	12	11
Sun May 22 00:40:47 2022	1653172847	1	12	13	11
Sun May 22 00:41:10 2022	1653172870	0	12	13	11
Sun May 22 00:40:38 2022	1653172838	1	12	13	12
Sun May 22 00:40:45 2022	1653172845	1	12	13	11
Sun May 22 00:41:09 2022	1653172869	1	12	13	12
Sun May 22 00:40:38 2022	1653172838	1	13	13	12
Sun May 22 00:41:10 2022	1653172870	1	13	13	11
Sun May 22 00:40:44 2022	1653172844	1	13	13	12
Sun May 22 00:41:21 2022	1653172881	3	10	13	10
Sun May 22 00:41:10 2022	1653172870	1	13	13	11
Sun May 22 00:40:32 2022	1653172832	1	13	13	12
Sun May 22 00:41:19 2022	1653172879	1	13	14	12
Sun May 22 00:40:37 2022	1653172837	1	13	14	12
Sun May 22 00:40:55 2022	1653172855	1	13	14	12
Sun May 22 00:40:52 2022	1653172852	1	13	14	11
Sun May 22 00:40:39 2022	1653172839	1	13	14	12
Sun May 22 00:40:46 2022	1653172846	1	13	14	13
Sun May 22 00:41:05 2022	1653172865	1	13	14	12
Sun May 22 00:40:34 2022	1653172834	1	13	14	13
Sun May 22 00:41:04 2022	1653172864	1	13	14	12
Sun May 22 00:40:32 2022	1653172832	1	13	14	13
