Percentage served,Time in ms
0,10.095
1,18.305
2,20.210
3,22.044
4,23.569
5,24.824
6,26.420
7,27.532
8,28.932
9,29.923
10,30.905
11,31.982
12,32.970
13,33.929
14,34.936
15,35.836
16,36.696
17,37.490
18,38.554
19,39.324
20,40.069
21,40.723
22,41.355
23,42.008
24,42.704
25,43.281
26,43.900
27,44.347
28,44.916
29,45.545
30,46.087
31,46.571
32,47.104
33,47.600
34,48.131
35,48.521
36,48.966
37,49.396
38,49.826
39,50.264
40,50.665
41,51.032
42,51.506
43,51.909
44,52.310
45,52.703
46,53.122
47,53.520
48,53.895
49,54.298
50,54.714
51,55.084
52,55.541
53,55.930
54,56.286
55,56.621
56,57.006
57,57.512
58,57.976
59,58.336
60,58.706
61,59.161
62,59.604
63,59.957
64,60.243
65,60.618
66,61.007
67,61.484
68,61.831
69,62.248
70,62.641
71,63.081
72,63.510
73,63.968
74,64.510
75,65.066
76,65.573
77,66.058
78,66.552
79,66.994
80,67.496
81,68.055
82,68.547
83,69.095
84,69.644
85,70.319
86,70.959
87,71.867
88,72.624
89,73.530
90,74.612
91,75.531
92,76.461
93,77.634
94,79.114
95,80.922
96,82.776
97,85.357
98,89.612
99,99.525
100,1129.876
