starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 00:28:40 2022	1653172120	1	8	8	7
Sun May 22 00:28:40 2022	1653172120	1	8	9	8
Sun May 22 00:28:10 2022	1653172090	1	9	9	8
Sun May 22 00:27:55 2022	1653172075	1	9	9	8
Sun May 22 00:28:18 2022	1653172098	1	9	10	8
Sun May 22 00:28:06 2022	1653172086	1	9	10	9
Sun May 22 00:28:10 2022	1653172090	1	10	11	9
Sun May 22 00:27:48 2022	1653172068	0	11	11	10
Sun May 22 00:28:09 2022	1653172089	0	11	11	10
Sun May 22 00:28:20 2022	1653172100	1	11	12	10
Sun May 22 00:28:30 2022	1653172110	1	11	12	11
Sun May 22 00:28:15 2022	1653172095	1	11	12	11
Sun May 22 00:28:11 2022	1653172091	1	11	12	11
Sun May 22 00:28:23 2022	1653172103	1	11	12	11
Sun May 22 00:28:41 2022	1653172121	1	12	12	11
Sun May 22 00:27:54 2022	1653172074	1	12	13	12
Sun May 22 00:27:52 2022	1653172072	2	10	13	10
Sun May 22 00:28:39 2022	1653172119	1	12	13	11
Sun May 22 00:28:09 2022	1653172089	1	12	13	11
Sun May 22 00:28:32 2022	1653172112	0	13	13	12
Sun May 22 00:27:52 2022	1653172072	1	12	13	12
Sun May 22 00:28:35 2022	1653172115	1	12	13	12
Sun May 22 00:28:29 2022	1653172109	1	12	13	11
Sun May 22 00:28:07 2022	1653172087	1	12	13	12
Sun May 22 00:27:59 2022	1653172079	2	11	13	11
Sun May 22 00:28:35 2022	1653172115	1	13	13	12
Sun May 22 00:28:26 2022	1653172106	1	13	13	12
Sun May 22 00:28:38 2022	1653172118	1	13	13	12
Sun May 22 00:27:59 2022	1653172079	1	13	14	12
Sun May 22 00:28:05 2022	1653172085	1	13	14	11
Sun May 22 00:27:59 2022	1653172079	1	13	14	11
Sun May 22 00:28:14 2022	1653172094	1	13	14	12
Sun May 22 00:27:50 2022	1653172070	1	13	14	12
Sun May 22 00:28:39 2022	1653172119	1	13	14	12
Sun May 22 00:28:30 2022	1653172110	1	13	14	12
Sun May 22 00:28:01 2022	1653172081	1	14	14	13
Sun May 22 00:27:49 2022	1653172069	1	14	14	13
Sun May 22 00:27:48 2022	1653172068	1	14	14	13
Sun May 22 00:27:46 2022	1653172066	1	13	15	11
Sun May 22 00:28:26 2022	1653172106	1	14	15	13
Sun May 22 00:28:20 2022	1653172100	1	14	15	14
Sun May 22 00:28:17 2022	1653172097	1	14	15	13
Sun May 22 00:28:35 2022	1653172115	1	14	15	13
Sun May 22 00:28:38 2022	1653172118	1	14	15	13
Sun May 22 00:28:29 2022	1653172109	1	14	15	13
Sun May 22 00:28:20 2022	1653172100	1	14	15	13
Sun May 22 00:28:04 2022	1653172084	1	14	15	14
Sun May 22 00:28:34 2022	1653172114	1	14	15	13
Sun May 22 00:28:26 2022	1653172106	1	14	15	14
Sun May 22 00:28:28 2022	1653172108	1	14	15	13
Sun May 22 00:28:35 2022	1653172115	1	15	15	14
Sun May 22 00:28:38 2022	1653172118	1	15	15	14
Sun May 22 00:28:31 2022	1653172111	1	15	15	14
Sun May 22 00:28:32 2022	1653172112	1	15	15	14
Sun May 22 00:27:53 2022	1653172073	1	15	15	14
Sun May 22 00:27:58 2022	1653172078	1	15	15	14
Sun May 22 00:28:28 2022	1653172108	1	15	16	13
Sun May 22 00:28:12 2022	1653172092	1	15	16	13
Sun May 22 00:28:16 2022	1653172096	1	15	16	14
Sun May 22 00:28:26 2022	1653172106	1	14	16	14
Sun May 22 00:27:56 2022	1653172076	1	15	16	14
Sun May 22 00:27:48 2022	1653172068	1	15	16	14
Sun May 22 00:28:38 2022	1653172118	1	15	16	15
Sun May 22 00:27:53 2022	1653172073	1	15	16	13
Sun May 22 00:28:11 2022	1653172091	1	15	16	15
Sun May 22 00:28:20 2022	1653172100	1	15	16	15
Sun May 22 00:27:49 2022	1653172069	1	15	16	14
Sun May 22 00:28:14 2022	1653172094	1	15	16	15
Sun May 22 00:28:37 2022	1653172117	1	15	16	14
Sun May 22 00:28:29 2022	1653172109	1	15	16	14
Sun May 22 00:28:17 2022	1653172097	1	15	16	15
Sun May 22 00:27:55 2022	1653172075	1	15	16	15
Sun May 22 00:28:40 2022	1653172120	1	16	16	15
Sun May 22 00:28:04 2022	1653172084	1	15	16	15
Sun May 22 00:28:32 2022	1653172112	1	16	16	15
Sun May 22 00:28:04 2022	1653172084	1	16	16	15
Sun May 22 00:28:36 2022	1653172116	1	16	16	15
Sun May 22 00:28:29 2022	1653172109	1	16	16	14
Sun May 22 00:28:34 2022	1653172114	1	16	17	14
Sun May 22 00:28:28 2022	1653172108	1	16	17	15
Sun May 22 00:28:31 2022	1653172111	1	16	17	15
Sun May 22 00:28:15 2022	1653172095	1	16	17	14
Sun May 22 00:27:54 2022	1653172074	1	16	17	15
Sun May 22 00:28:09 2022	1653172089	1	16	17	14
Sun May 22 00:28:06 2022	1653172086	1	16	17	15
Sun May 22 00:27:50 2022	1653172070	1	16	17	15
Sun May 22 00:28:33 2022	1653172113	0	16	17	16
Sun May 22 00:27:57 2022	1653172077	1	16	17	14
Sun May 22 00:28:33 2022	1653172113	1	16	17	15
Sun May 22 00:28:03 2022	1653172083	1	16	17	16
Sun May 22 00:28:36 2022	1653172116	0	16	17	16
Sun May 22 00:28:08 2022	1653172088	1	16	17	15
Sun May 22 00:28:06 2022	1653172086	1	16	17	16
Sun May 22 00:28:28 2022	1653172108	1	16	17	15
Sun May 22 00:28:41 2022	1653172121	1	16	17	15
Sun May 22 00:28:32 2022	1653172112	1	17	17	16
Sun May 22 00:28:13 2022	1653172093	1	16	17	16
Sun May 22 00:28:08 2022	1653172088	1	17	17	16
Sun May 22 00:28:06 2022	1653172086	1	17	17	16
Sun May 22 00:28:38 2022	1653172118	1	17	17	16
Sun May 22 00:28:20 2022	1653172100	1	17	17	16
Sun May 22 00:27:59 2022	1653172079	1	17	17	15
Sun May 22 00:28:14 2022	1653172094	1	17	17	16
Sun May 22 00:28:34 2022	1653172114	1	17	18	16
Sun May 22 00:27:51 2022	1653172071	1	17	18	16
Sun May 22 00:27:57 2022	1653172077	1	16	18	16
