Percentage served,Time in ms
0,7.756
1,17.667
2,19.980
3,21.525
4,23.131
5,24.328
6,25.689
7,26.750
8,27.808
9,28.715
10,29.695
11,30.581
12,31.595
13,32.273
14,33.081
15,34.093
16,34.946
17,35.756
18,36.465
19,37.260
20,38.190
21,38.949
22,39.591
23,40.265
24,40.901
25,41.546
26,42.170
27,42.695
28,43.208
29,43.700
30,44.289
31,44.811
32,45.424
33,45.945
34,46.455
35,47.045
36,47.486
37,47.931
38,48.376
39,48.816
40,49.163
41,49.606
42,50.028
43,50.448
44,50.849
45,51.260
46,51.667
47,52.065
48,52.418
49,52.803
50,53.202
51,53.639
52,53.995
53,54.359
54,54.729
55,55.098
56,55.461
57,55.838
58,56.234
59,56.674
60,57.027
61,57.477
62,57.867
63,58.236
64,58.630
65,59.045
66,59.441
67,59.863
68,60.267
69,60.728
70,61.177
71,61.483
72,61.927
73,62.350
74,62.768
75,63.216
76,63.672
77,64.102
78,64.533
79,65.087
80,65.565
81,66.105
82,66.686
83,67.283
84,67.828
85,68.381
86,69.065
87,69.840
88,70.717
89,71.567
90,72.587
91,73.539
92,74.684
93,76.089
94,77.858
95,79.597
96,82.363
97,85.926
98,92.300
99,118.520
100,1152.818
