starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 00:34:55 2022	1653172495	1	9	10	8
Sun May 22 00:34:52 2022	1653172492	1	10	10	9
Sun May 22 00:35:02 2022	1653172502	1	10	11	10
Sun May 22 00:35:17 2022	1653172517	1	11	11	10
Sun May 22 00:34:50 2022	1653172490	0	11	12	11
Sun May 22 00:35:00 2022	1653172500	1	12	12	11
Sun May 22 00:35:12 2022	1653172512	1	12	12	11
Sun May 22 00:35:23 2022	1653172523	2	11	13	11
Sun May 22 00:35:29 2022	1653172529	1	12	13	10
Sun May 22 00:34:44 2022	1653172484	1	12	13	11
Sun May 22 00:34:46 2022	1653172486	1	13	13	11
Sun May 22 00:35:23 2022	1653172523	1	12	13	11
Sun May 22 00:35:23 2022	1653172523	4	10	13	9
Sun May 22 00:35:22 2022	1653172522	1	13	14	12
Sun May 22 00:35:24 2022	1653172524	1	13	14	12
Sun May 22 00:34:50 2022	1653172490	0	13	14	13
Sun May 22 00:35:23 2022	1653172523	2	11	14	11
Sun May 22 00:35:26 2022	1653172526	1	13	14	12
Sun May 22 00:35:25 2022	1653172525	1	13	14	12
Sun May 22 00:35:23 2022	1653172523	1	13	14	13
Sun May 22 00:35:01 2022	1653172501	1	13	14	12
Sun May 22 00:35:09 2022	1653172509	1	13	14	13
Sun May 22 00:34:41 2022	1653172481	1	14	14	13
Sun May 22 00:35:01 2022	1653172501	1	14	14	13
Sun May 22 00:35:23 2022	1653172523	1	13	14	13
Sun May 22 00:34:48 2022	1653172488	1	14	14	13
Sun May 22 00:34:42 2022	1653172482	1	14	14	13
Sun May 22 00:35:07 2022	1653172507	1	14	14	13
Sun May 22 00:34:41 2022	1653172481	1	14	15	13
Sun May 22 00:35:00 2022	1653172500	1	14	15	13
Sun May 22 00:35:31 2022	1653172531	1	14	15	13
Sun May 22 00:35:20 2022	1653172520	1	13	15	9
Sun May 22 00:35:33 2022	1653172533	1	14	15	13
Sun May 22 00:35:14 2022	1653172514	1	14	15	14
Sun May 22 00:34:41 2022	1653172481	0	15	15	14
Sun May 22 00:35:13 2022	1653172513	1	14	15	13
Sun May 22 00:35:20 2022	1653172520	1	15	15	14
Sun May 22 00:34:34 2022	1653172474	1	14	15	5
Sun May 22 00:35:03 2022	1653172503	1	14	15	14
Sun May 22 00:35:25 2022	1653172525	1	15	15	14
Sun May 22 00:35:26 2022	1653172526	1	15	15	14
Sun May 22 00:35:31 2022	1653172531	1	15	16	14
Sun May 22 00:35:33 2022	1653172533	1	15	16	14
Sun May 22 00:34:41 2022	1653172481	1	15	16	14
Sun May 22 00:34:40 2022	1653172480	1	15	16	13
Sun May 22 00:35:23 2022	1653172523	5	11	16	11
Sun May 22 00:35:23 2022	1653172523	1	15	16	14
Sun May 22 00:35:25 2022	1653172525	1	15	16	15
Sun May 22 00:35:07 2022	1653172507	1	15	16	15
Sun May 22 00:35:10 2022	1653172510	1	15	16	14
Sun May 22 00:34:38 2022	1653172478	1	15	16	14
Sun May 22 00:34:51 2022	1653172491	1	15	16	14
Sun May 22 00:35:16 2022	1653172516	1	16	16	15
Sun May 22 00:35:13 2022	1653172513	1	16	16	15
Sun May 22 00:35:13 2022	1653172513	1	16	16	14
Sun May 22 00:34:46 2022	1653172486	1	16	16	15
Sun May 22 00:35:23 2022	1653172523	1	16	16	13
Sun May 22 00:35:07 2022	1653172507	1	16	16	15
Sun May 22 00:35:24 2022	1653172524	1	16	17	15
Sun May 22 00:35:28 2022	1653172528	1	16	17	15
Sun May 22 00:35:20 2022	1653172520	0	16	17	15
Sun May 22 00:35:25 2022	1653172525	1	16	17	15
Sun May 22 00:35:09 2022	1653172509	1	16	17	14
