Percentage served,Time in ms
0,8.749
1,36.656
2,37.671
3,38.241
4,38.743
5,39.133
6,39.393
7,39.630
8,39.811
9,39.967
10,40.147
11,40.295
12,40.481
13,40.632
14,40.788
15,40.939
16,41.122
17,41.280
18,41.439
19,41.575
20,41.759
21,41.958
22,42.113
23,42.308
24,42.482
25,42.647
26,42.795
27,42.935
28,43.078
29,43.268
30,43.430
31,43.571
32,43.715
33,43.847
34,43.973
35,44.107
36,44.216
37,44.327
38,44.463
39,44.604
40,44.747
41,44.886
42,45.039
43,45.219
44,45.406
45,45.627
46,45.868
47,46.101
48,46.295
49,46.500
50,46.694
51,46.911
52,47.113
53,47.281
54,47.478
55,47.674
56,47.837
57,47.979
58,48.146
59,48.318
60,48.508
61,48.723
62,48.921
63,49.159
64,49.389
65,49.661
66,49.864
67,50.109
68,50.358
69,50.682
70,50.969
71,51.218
72,51.544
73,51.833
74,52.160
75,52.433
76,52.731
77,53.061
78,53.377
79,53.797
80,54.117
81,54.499
82,54.868
83,55.375
84,55.756
85,56.118
86,56.687
87,57.379
88,58.115
89,58.789
90,59.538
91,60.483
92,61.622
93,62.837
94,64.080
95,65.374
96,67.786
97,70.738
98,77.038
99,120.572
100,1148.341
