starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 00:21:04 2022	1653171664	1	8	9	8
Sun May 22 00:20:08 2022	1653171608	1	9	10	8
Sun May 22 00:20:38 2022	1653171638	1	11	11	10
Sun May 22 00:21:04 2022	1653171664	1	11	12	11
Sun May 22 00:20:16 2022	1653171616	1	11	12	11
Sun May 22 00:20:16 2022	1653171616	2	12	13	12
Sun May 22 00:21:04 2022	1653171664	1	13	14	13
Sun May 22 00:20:08 2022	1653171608	1	13	14	12
Sun May 22 00:20:08 2022	1653171608	2	12	14	11
Sun May 22 00:20:38 2022	1653171638	2	13	14	12
Sun May 22 00:20:38 2022	1653171638	2	12	14	12
Sun May 22 00:20:16 2022	1653171616	2	13	14	13
Sun May 22 00:21:04 2022	1653171664	2	12	14	12
Sun May 22 00:20:16 2022	1653171616	2	13	15	13
Sun May 22 00:20:16 2022	1653171616	3	12	15	12
Sun May 22 00:20:38 2022	1653171638	1	14	15	14
Sun May 22 00:20:38 2022	1653171638	1	14	15	14
Sun May 22 00:20:38 2022	1653171638	1	14	15	14
Sun May 22 00:20:16 2022	1653171616	1	14	15	14
Sun May 22 00:20:08 2022	1653171608	2	14	15	14
Sun May 22 00:20:16 2022	1653171616	1	14	15	14
Sun May 22 00:20:08 2022	1653171608	1	15	15	15
Sun May 22 00:20:38 2022	1653171638	2	13	15	13
Sun May 22 00:20:38 2022	1653171638	2	14	16	14
Sun May 22 00:20:38 2022	1653171638	2	14	16	14
Sun May 22 00:20:16 2022	1653171616	1	15	16	15
Sun May 22 00:20:16 2022	1653171616	3	13	16	13
Sun May 22 00:20:38 2022	1653171638	1	15	16	15
Sun May 22 00:20:08 2022	1653171608	1	15	16	15
Sun May 22 00:21:04 2022	1653171664	1	16	17	16
Sun May 22 00:20:38 2022	1653171638	2	14	17	14
Sun May 22 00:21:04 2022	1653171664	1	16	17	16
Sun May 22 00:20:16 2022	1653171616	3	14	17	14
Sun May 22 00:20:16 2022	1653171616	2	15	17	15
Sun May 22 00:20:16 2022	1653171616	1	16	17	16
Sun May 22 00:20:41 2022	1653171641	2	16	18	16
Sun May 22 00:20:08 2022	1653171608	5	13	18	12
Sun May 22 00:20:16 2022	1653171616	1	16	18	16
Sun May 22 00:20:16 2022	1653171616	1	16	18	15
Sun May 22 00:20:38 2022	1653171638	1	16	18	16
Sun May 22 00:20:38 2022	1653171638	3	15	18	14
Sun May 22 00:20:16 2022	1653171616	1	17	18	17
Sun May 22 00:20:16 2022	1653171616	1	18	18	18
Sun May 22 00:20:08 2022	1653171608	1	17	19	17
Sun May 22 00:20:08 2022	1653171608	5	14	19	14
Sun May 22 00:20:08 2022	1653171608	1	18	19	17
Sun May 22 00:20:16 2022	1653171616	4	15	19	15
Sun May 22 00:20:41 2022	1653171641	1	18	19	18
Sun May 22 00:20:08 2022	1653171608	5	14	19	14
Sun May 22 00:20:41 2022	1653171641	2	18	19	18
Sun May 22 00:20:41 2022	1653171641	2	17	19	17
Sun May 22 00:20:16 2022	1653171616	3	17	19	17
Sun May 22 00:20:41 2022	1653171641	1	18	19	18
Sun May 22 00:20:37 2022	1653171637	3	17	20	17
Sun May 22 00:20:41 2022	1653171641	1	18	20	18
Sun May 22 00:20:16 2022	1653171616	4	16	20	16
Sun May 22 00:20:37 2022	1653171637	3	17	20	17
Sun May 22 00:20:38 2022	1653171638	1	19	20	19
Sun May 22 00:20:37 2022	1653171637	2	18	20	18
Sun May 22 00:20:08 2022	1653171608	5	15	20	15
Sun May 22 00:20:16 2022	1653171616	1	20	21	19
Sun May 22 00:20:41 2022	1653171641	1	19	21	19
Sun May 22 00:20:38 2022	1653171638	4	16	21	16
Sun May 22 00:20:41 2022	1653171641	1	20	21	20
Sun May 22 00:20:38 2022	1653171638	1	20	21	19
Sun May 22 00:20:16 2022	1653171616	2	18	21	18
Sun May 22 00:20:35 2022	1653171635	1	20	21	20
Sun May 22 00:20:37 2022	1653171637	3	18	21	18
Sun May 22 00:20:38 2022	1653171638	3	19	21	19
Sun May 22 00:20:16 2022	1653171616	2	20	22	18
Sun May 22 00:20:35 2022	1653171635	2	21	23	21
Sun May 22 00:20:08 2022	1653171608	5	17	23	17
Sun May 22 00:20:37 2022	1653171637	2	21	23	21
Sun May 22 00:20:16 2022	1653171616	2	21	23	21
Sun May 22 00:20:08 2022	1653171608	5	18	23	18
Sun May 22 00:20:37 2022	1653171637	2	21	23	21
Sun May 22 00:20:08 2022	1653171608	6	18	24	18
Sun May 22 00:20:38 2022	1653171638	2	23	24	22
Sun May 22 00:21:04 2022	1653171664	6	18	25	18
Sun May 22 00:20:37 2022	1653171637	2	24	25	24
Sun May 22 00:20:41 2022	1653171641	3	23	25	23
Sun May 22 00:20:35 2022	1653171635	3	23	26	23
Sun May 22 00:20:35 2022	1653171635	4	22	26	21
Sun May 22 00:20:35 2022	1653171635	4	22	26	21
Sun May 22 00:20:41 2022	1653171641	2	24	26	24
Sun May 22 00:20:16 2022	1653171616	1	25	27	24
Sun May 22 00:20:08 2022	1653171608	6	21	27	21
Sun May 22 00:20:35 2022	1653171635	2	25	27	25
Sun May 22 00:20:41 2022	1653171641	1	26	27	26
Sun May 22 00:20:41 2022	1653171641	2	25	27	25
Sun May 22 00:20:35 2022	1653171635	5	23	27	23
Sun May 22 00:21:04 2022	1653171664	4	23	27	23
Sun May 22 00:20:41 2022	1653171641	1	27	27	25
Sun May 22 00:20:41 2022	1653171641	3	25	28	25
Sun May 22 00:21:04 2022	1653171664	1	27	28	23
Sun May 22 00:21:04 2022	1653171664	5	22	28	22
Sun May 22 00:20:41 2022	1653171641	1	27	28	26
Sun May 22 00:20:41 2022	1653171641	3	25	28	25
Sun May 22 00:20:35 2022	1653171635	2	26	28	26
Sun May 22 00:20:35 2022	1653171635	2	26	28	26
Sun May 22 00:20:41 2022	1653171641	2	26	29	26
Sun May 22 00:20:16 2022	1653171616	1	27	29	27
Sun May 22 00:21:04 2022	1653171664	4	25	29	25
Sun May 22 00:20:41 2022	1653171641	1	28	29	27
Sun May 22 00:20:41 2022	1653171641	2	27	29	27
Sun May 22 00:20:37 2022	1653171637	3	27	29	26
Sun May 22 00:20:35 2022	1653171635	1	28	29	28
Sun May 22 00:20:41 2022	1653171641	1	29	30	28
Sun May 22 00:20:38 2022	1653171638	4	26	30	26
Sun May 22 00:21:04 2022	1653171664	1	29	30	28
Sun May 22 00:20:41 2022	1653171641	1	29	30	29
Sun May 22 00:20:35 2022	1653171635	1	30	31	30
Sun May 22 00:20:16 2022	1653171616	1	30	31	29
Sun May 22 00:20:37 2022	1653171637	1	30	31	30
Sun May 22 00:20:41 2022	1653171641	3	28	31	28
Sun May 22 00:20:08 2022	1653171608	5	26	31	26
Sun May 22 00:20:16 2022	1653171616	3	29	32	28
Sun May 22 00:20:08 2022	1653171608	1	31	32	30
Sun May 22 00:20:38 2022	1653171638	1	31	32	31
Sun May 22 00:20:41 2022	1653171641	2	30	32	30
Sun May 22 00:21:04 2022	1653171664	4	28	33	28
Sun May 22 00:20:16 2022	1653171616	1	32	33	32
Sun May 22 00:20:08 2022	1653171608	1	33	33	32
Sun May 22 00:20:35 2022	1653171635	2	32	34	29
Sun May 22 00:20:38 2022	1653171638	2	33	35	32
Sun May 22 00:20:41 2022	1653171641	1	33	35	33
Sun May 22 00:20:41 2022	1653171641	1	34	35	34
Sun May 22 00:20:41 2022	1653171641	1	34	35	34
Sun May 22 00:20:38 2022	1653171638	1	35	36	35
Sun May 22 00:20:37 2022	1653171637	2	34	36	34
Sun May 22 00:20:41 2022	1653171641	2	34	36	33
Sun May 22 00:21:07 2022	1653171667	1	35	36	34
Sun May 22 00:20:35 2022	1653171635	3	33	36	33
Sun May 22 00:20:37 2022	1653171637	3	33	36	32
Sun May 22 00:20:10 2022	1653171610	1	36	36	35
Sun May 22 00:20:10 2022	1653171610	1	36	36	35
Sun May 22 00:20:10 2022	1653171610	1	36	37	36
Sun May 22 00:20:37 2022	1653171637	0	37	37	36
Sun May 22 00:20:08 2022	1653171608	2	35	37	34
Sun May 22 00:20:10 2022	1653171610	1	36	37	35
Sun May 22 00:20:08 2022	1653171608	1	36	37	36
Sun May 22 00:21:07 2022	1653171667	1	36	37	36
Sun May 22 00:20:22 2022	1653171622	1	37	37	36
Sun May 22 00:20:41 2022	1653171641	4	33	38	33
Sun May 22 00:20:23 2022	1653171623	2	36	38	35
Sun May 22 00:20:41 2022	1653171641	1	37	38	36
Sun May 22 00:20:56 2022	1653171656	1	37	38	36
Sun May 22 00:20:22 2022	1653171622	0	38	38	37
Sun May 22 00:21:01 2022	1653171661	1	37	38	37
Sun May 22 00:20:22 2022	1653171622	1	37	38	36
Sun May 22 00:20:09 2022	1653171609	1	37	38	37
Sun May 22 00:21:01 2022	1653171661	1	37	38	36
Sun May 22 00:20:56 2022	1653171656	1	37	38	36
Sun May 22 00:20:41 2022	1653171641	1	37	38	37
Sun May 22 00:20:16 2022	1653171616	1	38	38	37
Sun May 22 00:20:22 2022	1653171622	1	38	38	38
Sun May 22 00:20:41 2022	1653171641	1	38	39	37
Sun May 22 00:20:41 2022	1653171641	1	38	39	37
Sun May 22 00:20:09 2022	1653171609	1	38	39	37
Sun May 22 00:21:01 2022	1653171661	0	38	39	37
Sun May 22 00:20:22 2022	1653171622	1	38	39	37
Sun May 22 00:20:09 2022	1653171609	1	38	39	37
Sun May 22 00:21:01 2022	1653171661	1	38	39	37
Sun May 22 00:20:35 2022	1653171635	1	38	39	38
Sun May 22 00:20:22 2022	1653171622	1	38	39	37
Sun May 22 00:21:01 2022	1653171661	1	38	39	38
Sun May 22 00:20:22 2022	1653171622	1	38	39	37
Sun May 22 00:20:10 2022	1653171610	1	38	39	38
Sun May 22 00:20:22 2022	1653171622	1	38	39	38
Sun May 22 00:20:56 2022	1653171656	1	38	39	37
Sun May 22 00:20:41 2022	1653171641	1	38	39	38
Sun May 22 00:20:22 2022	1653171622	1	38	39	38
Sun May 22 00:20:37 2022	1653171637	3	36	39	35
Sun May 22 00:20:22 2022	1653171622	1	38	39	38
Sun May 22 00:20:36 2022	1653171636	1	38	39	38
Sun May 22 00:20:41 2022	1653171641	1	38	39	38
Sun May 22 00:21:01 2022	1653171661	1	38	39	38
Sun May 22 00:20:09 2022	1653171609	1	38	39	37
Sun May 22 00:20:22 2022	1653171622	1	38	39	37
Sun May 22 00:21:01 2022	1653171661	1	38	39	38
Sun May 22 00:20:21 2022	1653171621	1	38	39	38
Sun May 22 00:20:21 2022	1653171621	0	39	39	38
Sun May 22 00:20:22 2022	1653171622	1	39	39	38
Sun May 22 00:20:09 2022	1653171609	1	38	39	38
Sun May 22 00:20:22 2022	1653171622	1	38	39	38
Sun May 22 00:20:09 2022	1653171609	1	39	39	38
Sun May 22 00:21:01 2022	1653171661	1	38	39	37
Sun May 22 00:20:22 2022	1653171622	1	39	39	38
Sun May 22 00:20:35 2022	1653171635	3	36	39	35
Sun May 22 00:20:21 2022	1653171621	1	38	39	38
Sun May 22 00:21:01 2022	1653171661	1	39	39	38
Sun May 22 00:20:41 2022	1653171641	1	38	39	38
Sun May 22 00:20:22 2022	1653171622	1	39	39	38
Sun May 22 00:20:22 2022	1653171622	1	39	39	38
Sun May 22 00:20:09 2022	1653171609	1	39	39	38
Sun May 22 00:20:22 2022	1653171622	1	39	39	38
