Percentage served,Time in ms
0,7.493
1,43.445
2,45.685
3,46.971
4,47.784
5,48.184
6,48.635
7,49.047
8,49.489
9,49.993
10,50.346
11,50.659
12,50.897
13,51.141
14,51.358
15,51.524
16,51.684
17,51.843
18,51.983
19,52.110
20,52.261
21,52.383
22,52.509
23,52.652
24,52.775
25,52.921
26,53.081
27,53.221
28,53.343
29,53.492
30,53.644
31,53.785
32,53.940
33,54.109
34,54.251
35,54.383
36,54.506
37,54.627
38,54.754
39,54.909
40,55.042
41,55.162
42,55.282
43,55.390
44,55.515
45,55.633
46,55.740
47,55.850
48,55.957
49,56.060
50,56.184
51,56.306
52,56.429
53,56.575
54,56.722
55,56.879
56,57.049
57,57.206
58,57.364
59,57.533
60,57.694
61,57.896
62,58.094
63,58.294
64,58.459
65,58.689
66,58.884
67,59.085
68,59.284
69,59.488
70,59.701
71,59.906
72,60.128
73,60.361
74,60.658
75,60.903
76,61.270
77,61.690
78,62.057
79,62.495
80,62.839
81,63.283
82,63.771
83,64.171
84,64.687
85,65.133
86,65.682
87,66.369
88,67.029
89,67.637
90,68.274
91,69.086
92,69.962
93,70.954
94,72.058
95,73.294
96,75.061
97,76.934
98,80.695
99,87.767
100,1140.916
