starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 00:13:57 2022	1653171237	1	7	7	4
Sun May 22 00:14:30 2022	1653171270	1	15	16	15
Sun May 22 00:14:30 2022	1653171270	1	18	18	18
Sun May 22 00:14:29 2022	1653171269	1	18	18	18
Sun May 22 00:14:30 2022	1653171270	1	18	19	18
Sun May 22 00:14:30 2022	1653171270	1	19	20	19
Sun May 22 00:14:30 2022	1653171270	1	20	20	19
Sun May 22 00:14:30 2022	1653171270	2	19	20	19
Sun May 22 00:14:30 2022	1653171270	2	18	20	18
Sun May 22 00:14:30 2022	1653171270	1	20	21	20
Sun May 22 00:14:30 2022	1653171270	2	19	21	19
Sun May 22 00:14:30 2022	1653171270	1	20	21	20
Sun May 22 00:14:00 2022	1653171240	2	20	22	20
Sun May 22 00:14:30 2022	1653171270	1	21	22	21
Sun May 22 00:14:30 2022	1653171270	1	21	22	21
Sun May 22 00:14:30 2022	1653171270	1	22	23	22
Sun May 22 00:14:30 2022	1653171270	1	22	23	22
Sun May 22 00:14:30 2022	1653171270	1	23	24	23
Sun May 22 00:14:00 2022	1653171240	3	21	24	21
Sun May 22 00:14:30 2022	1653171270	1	23	24	23
Sun May 22 00:14:30 2022	1653171270	1	24	24	24
Sun May 22 00:14:30 2022	1653171270	1	24	25	24
Sun May 22 00:14:29 2022	1653171269	3	21	25	21
Sun May 22 00:14:29 2022	1653171269	4	21	25	21
Sun May 22 00:14:30 2022	1653171270	1	24	25	24
Sun May 22 00:14:29 2022	1653171269	3	22	25	22
Sun May 22 00:14:30 2022	1653171270	1	25	25	25
Sun May 22 00:14:30 2022	1653171270	1	24	26	24
Sun May 22 00:14:30 2022	1653171270	1	24	26	24
Sun May 22 00:14:30 2022	1653171270	1	24	26	24
Sun May 22 00:14:30 2022	1653171270	1	25	26	25
Sun May 22 00:14:30 2022	1653171270	1	25	26	25
Sun May 22 00:14:30 2022	1653171270	1	25	26	25
Sun May 22 00:14:30 2022	1653171270	1	25	26	25
Sun May 22 00:14:29 2022	1653171269	2	25	27	25
Sun May 22 00:14:30 2022	1653171270	1	26	27	26
Sun May 22 00:14:29 2022	1653171269	1	26	28	26
Sun May 22 00:14:30 2022	1653171270	1	27	29	27
Sun May 22 00:14:29 2022	1653171269	1	28	29	28
Sun May 22 00:13:57 2022	1653171237	1	28	29	26
Sun May 22 00:14:00 2022	1653171240	2	27	29	26
Sun May 22 00:14:29 2022	1653171269	2	27	29	26
Sun May 22 00:14:29 2022	1653171269	1	29	30	27
Sun May 22 00:14:30 2022	1653171270	2	28	30	28
Sun May 22 00:14:30 2022	1653171270	1	29	30	27
Sun May 22 00:14:30 2022	1653171270	1	31	31	31
Sun May 22 00:14:30 2022	1653171270	3	30	32	29
Sun May 22 00:13:57 2022	1653171237	1	31	32	31
Sun May 22 00:14:00 2022	1653171240	4	29	33	27
Sun May 22 00:14:29 2022	1653171269	1	32	33	30
Sun May 22 00:14:30 2022	1653171270	2	31	33	31
Sun May 22 00:14:30 2022	1653171270	3	31	34	31
Sun May 22 00:14:30 2022	1653171270	4	31	35	31
Sun May 22 00:13:57 2022	1653171237	1	34	35	33
Sun May 22 00:14:30 2022	1653171270	2	33	35	32
Sun May 22 00:14:30 2022	1653171270	1	35	35	35
Sun May 22 00:14:29 2022	1653171269	1	35	36	34
Sun May 22 00:14:00 2022	1653171240	1	36	37	36
Sun May 22 00:14:29 2022	1653171269	3	34	37	34
Sun May 22 00:14:00 2022	1653171240	1	36	37	35
Sun May 22 00:14:00 2022	1653171240	1	36	37	35
Sun May 22 00:13:57 2022	1653171237	1	36	38	35
Sun May 22 00:14:30 2022	1653171270	1	37	38	37
