Percentage served,Time in ms
0,8.180
1,24.845
2,36.680
3,40.135
4,43.320
5,44.576
6,45.700
7,46.582
8,47.303
9,47.904
10,48.414
11,48.819
12,49.240
13,49.582
14,49.988
15,50.307
16,50.592
17,50.923
18,51.190
19,51.424
20,51.673
21,51.888
22,52.060
23,52.278
24,52.498
25,52.685
26,52.920
27,53.139
28,53.343
29,53.515
30,53.718
31,53.909
32,54.127
33,54.364
34,54.582
35,54.747
36,54.972
37,55.148
38,55.345
39,55.520
40,55.726
41,55.876
42,56.053
43,56.217
44,56.387
45,56.530
46,56.675
47,56.854
48,57.026
49,57.178
50,57.339
51,57.496
52,57.670
53,57.875
54,58.087
55,58.321
56,58.515
57,58.725
58,58.919
59,59.124
60,59.342
61,59.607
62,59.842
63,60.027
64,60.257
65,60.479
66,60.725
67,60.980
68,61.180
69,61.421
70,61.625
71,61.899
72,62.127
73,62.351
74,62.588
75,62.874
76,63.174
77,63.513
78,63.814
79,64.168
80,64.554
81,64.947
82,65.372
83,65.840
84,66.435
85,66.985
86,67.685
87,68.343
88,69.103
89,69.965
90,70.828
91,71.861
92,73.074
93,74.563
94,76.168
95,78.136
96,80.966
97,86.580
98,95.986
99,113.148
100,1123.870
