starttime	seconds	ctime	dtime	ttime	wait
Sat May 21 23:46:10 2022	1653169570	2	9	11	8
Sat May 21 23:46:17 2022	1653169577	1	13	15	13
Sat May 21 23:46:17 2022	1653169577	0	20	20	20
Sat May 21 23:46:17 2022	1653169577	2	20	22	19
Sat May 21 23:46:17 2022	1653169577	0	22	23	22
Sat May 21 23:46:17 2022	1653169577	2	22	24	21
Sat May 21 23:46:17 2022	1653169577	1	28	29	27
Sat May 21 23:46:10 2022	1653169570	1	29	30	28
Sat May 21 23:47:07 2022	1653169627	1	29	30	28
Sat May 21 23:47:07 2022	1653169627	1	30	31	30
Sat May 21 23:46:17 2022	1653169577	1	30	32	30
Sat May 21 23:46:10 2022	1653169570	1	31	32	31
Sat May 21 23:46:17 2022	1653169577	1	32	33	32
Sat May 21 23:47:07 2022	1653169627	1	32	33	31
Sat May 21 23:46:10 2022	1653169570	1	34	35	34
Sat May 21 23:46:17 2022	1653169577	1	35	35	35
Sat May 21 23:46:36 2022	1653169596	1	35	36	34
Sat May 21 23:47:05 2022	1653169625	1	36	37	35
Sat May 21 23:46:36 2022	1653169596	0	36	37	36
Sat May 21 23:47:05 2022	1653169625	0	37	37	36
Sat May 21 23:47:05 2022	1653169625	0	37	37	36
Sat May 21 23:47:05 2022	1653169625	1	37	37	36
Sat May 21 23:46:36 2022	1653169596	1	37	37	36
Sat May 21 23:47:05 2022	1653169625	1	37	37	36
Sat May 21 23:47:05 2022	1653169625	1	37	37	36
Sat May 21 23:46:36 2022	1653169596	1	37	37	36
Sat May 21 23:46:32 2022	1653169592	0	37	37	36
Sat May 21 23:47:05 2022	1653169625	1	37	37	36
Sat May 21 23:46:32 2022	1653169592	1	37	37	36
Sat May 21 23:47:05 2022	1653169625	1	37	37	36
Sat May 21 23:47:05 2022	1653169625	1	37	37	36
Sat May 21 23:46:36 2022	1653169596	1	37	38	36
Sat May 21 23:47:05 2022	1653169625	1	37	38	36
Sat May 21 23:46:15 2022	1653169575	0	37	38	36
Sat May 21 23:46:57 2022	1653169617	1	36	38	36
Sat May 21 23:46:37 2022	1653169597	1	37	38	37
Sat May 21 23:46:32 2022	1653169592	1	37	38	36
Sat May 21 23:46:17 2022	1653169577	1	37	38	37
Sat May 21 23:47:05 2022	1653169625	1	37	38	37
Sat May 21 23:47:05 2022	1653169625	0	37	38	37
Sat May 21 23:46:36 2022	1653169596	1	37	38	36
Sat May 21 23:47:06 2022	1653169626	1	37	38	36
Sat May 21 23:46:32 2022	1653169592	1	37	38	37
Sat May 21 23:47:05 2022	1653169625	1	37	38	37
Sat May 21 23:46:32 2022	1653169592	1	37	38	36
Sat May 21 23:46:57 2022	1653169617	0	37	38	37
Sat May 21 23:46:32 2022	1653169592	1	37	38	36
Sat May 21 23:47:05 2022	1653169625	1	37	38	37
Sat May 21 23:47:05 2022	1653169625	1	37	38	37
Sat May 21 23:47:05 2022	1653169625	1	37	38	37
Sat May 21 23:46:10 2022	1653169570	2	36	38	36
Sat May 21 23:47:05 2022	1653169625	1	37	38	37
Sat May 21 23:47:06 2022	1653169626	1	37	38	36
Sat May 21 23:47:06 2022	1653169626	1	37	38	37
Sat May 21 23:46:37 2022	1653169597	1	38	38	37
Sat May 21 23:46:15 2022	1653169575	1	38	38	37
Sat May 21 23:47:05 2022	1653169625	1	38	38	37
Sat May 21 23:46:37 2022	1653169597	1	38	38	37
Sat May 21 23:46:37 2022	1653169597	1	38	38	37
Sat May 21 23:46:27 2022	1653169587	1	38	38	37
Sat May 21 23:46:32 2022	1653169592	1	38	38	37
Sat May 21 23:46:48 2022	1653169608	0	38	38	37
Sat May 21 23:46:36 2022	1653169596	1	37	38	37
Sat May 21 23:47:05 2022	1653169625	0	38	38	37
Sat May 21 23:46:59 2022	1653169619	1	38	38	36
Sat May 21 23:46:32 2022	1653169592	1	37	38	37
Sat May 21 23:47:05 2022	1653169625	1	37	38	37
Sat May 21 23:46:17 2022	1653169577	1	38	38	37
Sat May 21 23:46:35 2022	1653169595	1	38	38	37
Sat May 21 23:47:06 2022	1653169626	1	38	38	37
Sat May 21 23:46:20 2022	1653169580	1	37	38	37
Sat May 21 23:47:05 2022	1653169625	1	38	38	37
Sat May 21 23:46:48 2022	1653169608	1	38	38	37
Sat May 21 23:46:15 2022	1653169575	1	38	38	37
Sat May 21 23:46:57 2022	1653169617	1	38	39	37
Sat May 21 23:46:58 2022	1653169618	1	38	39	37
Sat May 21 23:47:05 2022	1653169625	1	38	39	37
Sat May 21 23:46:17 2022	1653169577	1	38	39	38
Sat May 21 23:47:06 2022	1653169626	1	38	39	37
Sat May 21 23:46:36 2022	1653169596	1	38	39	37
Sat May 21 23:47:05 2022	1653169625	1	38	39	37
Sat May 21 23:46:42 2022	1653169602	1	38	39	37
Sat May 21 23:46:24 2022	1653169584	1	38	39	37
Sat May 21 23:47:05 2022	1653169625	1	38	39	37
