Percentage served,Time in ms
0,10.170
1,22.224
2,26.470
3,30.093
4,34.500
5,37.644
6,40.089
7,42.147
8,43.672
9,44.594
10,45.663
11,46.360
12,46.999
13,47.754
14,48.203
15,48.891
16,49.280
17,49.741
18,50.242
19,50.569
20,50.889
21,51.257
22,51.594
23,51.900
24,52.233
25,52.463
26,52.826
27,53.193
28,53.513
29,53.847
30,54.230
31,54.512
32,54.807
33,55.025
34,55.314
35,55.584
36,55.820
37,56.075
38,56.323
39,56.576
40,56.838
41,57.105
42,57.372
43,57.624
44,57.898
45,58.189
46,58.464
47,58.720
48,59.035
49,59.315
50,59.572
51,59.857
52,60.103
53,60.359
54,60.629
55,60.852
56,61.180
57,61.527
58,61.867
59,62.193
60,62.541
61,62.829
62,63.193
63,63.489
64,63.868
65,64.203
66,64.543
67,65.039
68,65.436
69,65.870
70,66.456
71,66.975
72,67.499
73,68.083
74,68.711
75,69.389
76,70.173
77,71.052
78,72.009
79,72.953
80,74.317
81,75.640
82,77.261
83,78.753
84,80.636
85,82.527
86,84.848
87,87.168
88,90.562
89,94.043
90,98.138
91,101.813
92,106.955
93,112.914
94,120.456
95,128.560
96,138.831
97,150.707
98,176.222
99,233.369
100,7249.961
