starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 00:03:22 2022	1653170602	1	8	9	4
Sun May 22 00:04:25 2022	1653170665	1	8	9	8
Sun May 22 00:04:25 2022	1653170665	2	8	9	7
Sun May 22 00:04:25 2022	1653170665	2	9	10	9
Sun May 22 00:04:17 2022	1653170657	2	9	11	9
Sun May 22 00:04:25 2022	1653170665	2	10	11	10
Sun May 22 00:04:25 2022	1653170665	1	10	11	10
Sun May 22 00:03:41 2022	1653170621	2	10	11	10
Sun May 22 00:03:41 2022	1653170621	1	10	11	10
Sun May 22 00:03:41 2022	1653170621	1	11	12	10
Sun May 22 00:03:41 2022	1653170621	1	11	12	11
Sun May 22 00:04:15 2022	1653170655	1	11	12	11
Sun May 22 00:04:25 2022	1653170665	1	11	12	11
Sun May 22 00:04:25 2022	1653170665	2	10	12	10
Sun May 22 00:04:15 2022	1653170655	2	11	13	11
Sun May 22 00:04:15 2022	1653170655	1	12	13	12
Sun May 22 00:04:17 2022	1653170657	2	11	13	11
Sun May 22 00:04:15 2022	1653170655	1	12	13	12
Sun May 22 00:03:41 2022	1653170621	2	11	13	11
Sun May 22 00:03:45 2022	1653170625	1	12	13	12
Sun May 22 00:04:17 2022	1653170657	1	12	13	12
Sun May 22 00:04:25 2022	1653170665	1	12	13	12
Sun May 22 00:03:41 2022	1653170621	1	12	13	12
Sun May 22 00:04:00 2022	1653170640	4	9	13	9
Sun May 22 00:04:15 2022	1653170655	2	12	13	11
Sun May 22 00:04:25 2022	1653170665	1	12	13	12
Sun May 22 00:04:15 2022	1653170655	2	12	14	12
Sun May 22 00:04:10 2022	1653170650	1	13	14	13
Sun May 22 00:04:15 2022	1653170655	2	12	14	12
Sun May 22 00:04:17 2022	1653170657	1	13	14	13
Sun May 22 00:04:15 2022	1653170655	2	12	14	12
Sun May 22 00:04:15 2022	1653170655	2	12	14	12
Sun May 22 00:04:15 2022	1653170655	2	12	14	12
Sun May 22 00:04:15 2022	1653170655	1	13	14	13
Sun May 22 00:04:07 2022	1653170647	2	13	14	12
