Percentage served,Time in ms
0,4.297
1,5.549
2,7.710
3,9.479
4,10.666
5,11.503
6,12.309
7,13.135
8,14.228
9,15.215
10,16.000
11,16.940
12,18.108
13,19.249
14,20.469
15,21.583
16,22.690
17,23.941
18,25.286
19,27.982
20,30.976
21,34.602
22,37.957
23,39.506
24,40.151
25,40.600
26,40.939
27,41.270
28,41.654
29,42.051
30,42.378
31,42.721
32,43.153
33,43.673
34,44.298
35,45.022
36,45.663
37,46.195
38,46.534
39,46.870
40,47.278
41,47.627
42,47.960
43,48.222
44,48.544
45,48.906
46,49.179
47,49.461
48,49.755
49,50.006
50,50.267
51,50.487
52,50.700
53,50.885
54,51.097
55,51.272
56,51.452
57,51.638
58,51.815
59,51.978
60,52.136
61,52.308
62,52.483
63,52.669
64,52.822
65,53.016
66,53.178
67,53.363
68,53.540
69,53.744
70,53.931
71,54.137
72,54.323
73,54.513
74,54.714
75,54.924
76,55.130
77,55.369
78,55.617
79,55.819
80,56.016
81,56.218
82,56.488
83,56.733
84,56.996
85,57.316
86,57.605
87,57.990
88,58.454
89,58.946
90,59.421
91,59.945
92,60.534
93,61.303
94,62.288
95,63.404
96,64.879
97,67.857
98,74.364
99,126.310
100,3218.447
