starttime	seconds	ctime	dtime	ttime	wait
Sat May 21 23:31:35 2022	1653168695	1	3	4	3
Sat May 21 23:31:36 2022	1653168696	1	4	4	3
Sat May 21 23:31:35 2022	1653168695	1	3	4	3
Sat May 21 23:31:36 2022	1653168696	1	4	4	3
Sat May 21 23:31:35 2022	1653168695	1	4	4	4
Sat May 21 23:31:35 2022	1653168695	1	4	4	4
Sat May 21 23:31:36 2022	1653168696	1	4	4	4
Sat May 21 23:31:36 2022	1653168696	1	4	4	4
Sat May 21 23:31:36 2022	1653168696	1	4	4	4
Sat May 21 23:31:36 2022	1653168696	1	4	4	4
Sat May 21 23:31:36 2022	1653168696	1	4	4	4
Sat May 21 23:31:36 2022	1653168696	1	4	4	4
Sat May 21 23:31:36 2022	1653168696	1	4	4	4
Sat May 21 23:31:36 2022	1653168696	1	4	4	4
Sat May 21 23:31:35 2022	1653168695	1	4	4	4
Sat May 21 23:31:35 2022	1653168695	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:35 2022	1653168695	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:35 2022	1653168695	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:35 2022	1653168695	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:35 2022	1653168695	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:35 2022	1653168695	1	4	5	4
Sat May 21 23:31:35 2022	1653168695	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:35 2022	1653168695	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:35 2022	1653168695	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:35 2022	1653168695	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	5	5	5
Sat May 21 23:31:35 2022	1653168695	1	4	5	4
Sat May 21 23:31:35 2022	1653168695	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	5	5	5
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
Sat May 21 23:31:36 2022	1653168696	1	4	5	4
