Percentage served,Time in ms
0,4.117
1,7.980
2,9.953
3,10.997
4,11.865
5,12.397
6,13.192
7,13.830
8,14.747
9,15.479
10,16.256
11,16.956
12,17.443
13,18.090
14,18.690
15,19.312
16,19.988
17,20.607
18,21.310
19,21.950
20,22.639
21,23.516
22,24.204
23,25.127
24,26.322
25,27.324
26,28.659
27,30.508
28,32.822
29,35.217
30,37.638
31,38.965
32,39.782
33,40.353
34,40.794
35,41.136
36,41.404
37,41.714
38,42.017
39,42.387
40,42.674
41,42.987
42,43.263
43,43.569
44,43.881
45,44.160
46,44.472
47,44.677
48,44.916
49,45.117
50,45.303
51,45.484
52,45.644
53,45.799
54,45.939
55,46.081
56,46.227
57,46.348
58,46.476
59,46.628
60,46.802
61,46.960
62,47.128
63,47.292
64,47.444
65,47.604
66,47.784
67,47.951
68,48.117
69,48.296
70,48.462
71,48.676
72,48.844
73,49.025
74,49.216
75,49.440
76,49.616
77,49.849
78,50.111
79,50.376
80,50.645
81,50.902
82,51.226
83,51.486
84,51.776
85,52.086
86,52.407
87,52.796
88,53.189
89,53.623
90,54.011
91,54.569
92,55.202
93,56.073
94,56.998
95,58.840
96,61.957
97,72.075
98,95.413
99,183.480
100,3150.572
