Percentage served,Time in ms
0,14.611
1,36.046
2,37.121
3,37.790
4,38.370
5,38.728
6,39.037
7,39.292
8,39.537
9,39.727
10,39.897
11,40.056
12,40.199
13,40.323
14,40.453
15,40.562
16,40.665
17,40.761
18,40.856
19,40.942
20,41.035
21,41.115
22,41.201
23,41.264
24,41.353
25,41.429
26,41.499
27,41.565
28,41.634
29,41.706
30,41.782
31,41.863
32,41.929
33,42.001
34,42.076
35,42.133
36,42.196
37,42.260
38,42.329
39,42.401
40,42.467
41,42.549
42,42.614
43,42.684
44,42.743
45,42.823
46,42.888
47,42.964
48,43.046
49,43.119
50,43.204
51,43.280
52,43.354
53,43.441
54,43.531
55,43.616
56,43.713
57,43.795
58,43.868
59,43.962
60,44.061
61,44.147
62,44.238
63,44.333
64,44.428
65,44.556
66,44.672
67,44.802
68,44.907
69,45.033
70,45.159
71,45.298
72,45.413
73,45.545
74,45.683
75,45.812
76,45.940
77,46.094
78,46.246
79,46.396
80,46.544
81,46.716
82,46.934
83,47.160
84,47.338
85,47.566
86,47.799
87,48.018
88,48.269
89,48.553
90,48.837
91,49.221
92,49.572
93,49.918
94,50.437
95,51.039
96,51.905
97,53.393
98,54.812
99,62.615
100,3204.102
