starttime	seconds	ctime	dtime	ttime	wait
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	5	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	5	4
Sat May 21 23:11:53 2022	1653167513	1	5	5	5
Sat May 21 23:11:53 2022	1653167513	1	5	5	4
Sat May 21 23:11:53 2022	1653167513	1	4	6	4
Sat May 21 23:11:53 2022	1653167513	1	4	6	4
Sat May 21 23:11:53 2022	1653167513	1	5	6	4
Sat May 21 23:11:53 2022	1653167513	1	5	6	5
Sat May 21 23:11:53 2022	1653167513	1	4	6	4
Sat May 21 23:11:53 2022	1653167513	1	5	6	5
Sat May 21 23:11:53 2022	1653167513	1	5	6	5
Sat May 21 23:11:52 2022	1653167512	1	5	6	5
Sat May 21 23:11:53 2022	1653167513	1	5	6	5
Sat May 21 23:11:53 2022	1653167513	1	5	6	5
Sat May 21 23:11:53 2022	1653167513	1	5	6	4
Sat May 21 23:11:53 2022	1653167513	1	5	6	5
Sat May 21 23:11:53 2022	1653167513	1	5	6	5
Sat May 21 23:11:53 2022	1653167513	1	5	6	5
Sat May 21 23:11:53 2022	1653167513	1	5	6	4
Sat May 21 23:11:20 2022	1653167480	1	5	6	5
Sat May 21 23:11:53 2022	1653167513	1	5	6	5
Sat May 21 23:11:53 2022	1653167513	1	5	6	5
Sat May 21 23:11:53 2022	1653167513	1	5	6	5
Sat May 21 23:11:53 2022	1653167513	1	5	6	5
Sat May 21 23:11:53 2022	1653167513	1	5	6	5
Sat May 21 23:11:53 2022	1653167513	1	5	6	5
Sat May 21 23:11:53 2022	1653167513	1	5	6	5
Sat May 21 23:11:53 2022	1653167513	1	5	6	5
Sat May 21 23:11:53 2022	1653167513	2	5	6	5
Sat May 21 23:11:53 2022	1653167513	1	6	6	6
Sat May 21 23:11:53 2022	1653167513	2	4	6	4
Sat May 21 23:11:53 2022	1653167513	2	5	6	5
Sat May 21 23:11:53 2022	1653167513	1	5	6	5
Sat May 21 23:11:53 2022	1653167513	1	5	6	5
Sat May 21 23:11:53 2022	1653167513	1	5	6	5
Sat May 21 23:11:27 2022	1653167487	1	5	7	5
Sat May 21 23:11:53 2022	1653167513	1	6	7	6
Sat May 21 23:11:09 2022	1653167469	1	5	7	5
Sat May 21 23:11:53 2022	1653167513	1	6	7	6
Sat May 21 23:11:53 2022	1653167513	1	6	7	6
Sat May 21 23:11:09 2022	1653167469	1	6	7	6
Sat May 21 23:11:53 2022	1653167513	1	6	7	6
