Percentage served,Time in ms
0,4.601
1,6.507
2,7.162
3,7.706
4,8.048
5,8.366
6,8.793
7,9.150
8,9.533
9,10.002
10,10.442
11,10.954
12,11.507
13,11.988
14,12.444
15,12.919
16,13.431
17,13.965
18,14.589
19,15.239
20,15.989
21,16.681
22,17.378
23,18.137
24,19.069
25,19.829
26,21.031
27,22.240
28,23.823
29,25.057
30,26.900
31,29.278
32,32.652
33,36.216
34,38.281
35,39.446
36,40.016
37,40.540
38,40.901
39,41.304
40,41.685
41,42.000
42,42.295
43,42.568
44,42.851
45,43.113
46,43.361
47,43.632
48,43.894
49,44.166
50,44.409
51,44.700
52,44.977
53,45.304
54,45.631
55,45.978
56,46.310
57,46.678
58,47.043
59,47.466
60,47.885
61,48.291
62,48.705
63,49.099
64,49.537
65,50.057
66,50.499
67,51.013
68,51.408
69,51.800
70,52.054
71,52.385
72,52.621
73,52.895
74,53.109
75,53.370
76,53.618
77,53.840
78,54.096
79,54.345
80,54.594
81,54.846
82,55.141
83,55.378
84,55.662
85,55.971
86,56.278
87,56.581
88,56.899
89,57.294
90,57.802
91,58.331
92,58.898
93,59.720
94,60.741
95,62.271
96,64.102
97,68.978
98,77.057
99,101.166
100,1131.622
