starttime	seconds	ctime	dtime	ttime	wait
Sat May 21 23:19:16 2022	1653167956	1	4	5	4
Sat May 21 23:19:16 2022	1653167956	1	4	5	4
Sat May 21 23:19:16 2022	1653167956	1	4	5	4
Sat May 21 23:19:31 2022	1653167971	1	4	5	3
Sat May 21 23:19:27 2022	1653167967	1	4	5	4
Sat May 21 23:19:31 2022	1653167971	1	4	5	4
Sat May 21 23:19:31 2022	1653167971	1	5	5	4
Sat May 21 23:19:16 2022	1653167956	1	4	5	4
Sat May 21 23:19:27 2022	1653167967	1	4	5	4
Sat May 21 23:19:31 2022	1653167971	1	4	5	4
Sat May 21 23:19:16 2022	1653167956	1	5	5	5
Sat May 21 23:19:27 2022	1653167967	1	4	5	4
Sat May 21 23:18:58 2022	1653167938	1	5	5	5
Sat May 21 23:19:27 2022	1653167967	1	4	5	4
Sat May 21 23:19:14 2022	1653167954	1	5	6	5
Sat May 21 23:19:43 2022	1653167983	1	4	6	4
Sat May 21 23:18:58 2022	1653167938	1	5	6	5
Sat May 21 23:19:16 2022	1653167956	1	5	6	5
Sat May 21 23:19:26 2022	1653167966	1	5	6	4
Sat May 21 23:19:31 2022	1653167971	1	5	6	5
Sat May 21 23:19:31 2022	1653167971	1	5	6	5
Sat May 21 23:19:31 2022	1653167971	1	6	6	5
Sat May 21 23:19:32 2022	1653167972	1	5	6	5
Sat May 21 23:19:27 2022	1653167967	1	5	6	5
Sat May 21 23:19:27 2022	1653167967	1	5	6	5
Sat May 21 23:19:14 2022	1653167954	1	5	6	5
Sat May 21 23:19:27 2022	1653167967	1	5	6	5
Sat May 21 23:19:31 2022	1653167971	1	5	6	5
Sat May 21 23:19:27 2022	1653167967	2	4	6	4
Sat May 21 23:19:13 2022	1653167953	1	5	6	5
Sat May 21 23:19:42 2022	1653167982	1	5	6	5
Sat May 21 23:19:16 2022	1653167956	1	5	6	5
Sat May 21 23:19:16 2022	1653167956	1	5	6	5
Sat May 21 23:19:43 2022	1653167983	1	5	6	5
Sat May 21 23:19:14 2022	1653167954	1	5	6	5
Sat May 21 23:19:32 2022	1653167972	1	6	6	5
Sat May 21 23:19:13 2022	1653167953	1	5	6	5
Sat May 21 23:19:27 2022	1653167967	1	6	6	6
Sat May 21 23:19:16 2022	1653167956	1	5	6	5
Sat May 21 23:19:26 2022	1653167966	1	5	6	5
Sat May 21 23:19:26 2022	1653167966	1	6	6	6
Sat May 21 23:19:27 2022	1653167967	1	6	6	6
Sat May 21 23:19:14 2022	1653167954	1	6	6	6
Sat May 21 23:19:16 2022	1653167956	2	5	6	5
Sat May 21 23:19:16 2022	1653167956	1	5	7	5
Sat May 21 23:19:13 2022	1653167953	2	5	7	5
Sat May 21 23:19:31 2022	1653167971	1	6	7	6
Sat May 21 23:19:27 2022	1653167967	1	5	7	5
Sat May 21 23:19:31 2022	1653167971	1	6	7	6
Sat May 21 23:19:43 2022	1653167983	1	5	7	5
