Percentage served,Time in ms
0,5.350
1,6.829
2,7.460
3,7.942
4,8.410
5,8.810
6,9.175
7,9.509
8,9.754
9,10.027
10,10.289
11,10.565
12,10.839
13,11.061
14,11.264
15,11.477
16,11.647
17,11.886
18,12.074
19,12.270
20,12.435
21,12.613
22,12.839
23,13.008
24,13.170
25,13.320
26,13.475
27,13.649
28,13.817
29,13.976
30,14.137
31,14.308
32,14.491
33,14.676
34,14.849
35,15.016
36,15.180
37,15.333
38,15.481
39,15.652
40,15.805
41,15.973
42,16.169
43,16.318
44,16.459
45,16.642
46,16.790
47,16.936
48,17.083
49,17.266
50,17.429
51,17.596
52,17.783
53,17.948
54,18.135
55,18.314
56,18.496
57,18.664
58,18.848
59,19.022
60,19.208
61,19.425
62,19.631
63,19.856
64,20.084
65,20.323
66,20.509
67,20.724
68,21.014
69,21.287
70,21.503
71,21.825
72,22.111
73,22.376
74,22.665
75,22.954
76,23.285
77,23.620
78,24.024
79,24.412
80,24.830
81,25.280
82,25.756
83,26.314
84,26.857
85,27.565
86,28.322
87,29.123
88,30.166
89,31.270
90,32.371
91,33.722
92,35.219
93,37.017
94,39.347
95,42.226
96,46.040
97,51.988
98,59.715
99,86.771
100,32502.603
