Percentage served,Time in ms
0,4.951
1,6.442
2,7.037
3,7.588
4,8.080
5,8.509
6,8.845
7,9.211
8,9.524
9,9.833
10,10.090
11,10.324
12,10.556
13,10.761
14,10.998
15,11.236
16,11.415
17,11.590
18,11.783
19,11.959
20,12.137
21,12.291
22,12.470
23,12.634
24,12.797
25,12.945
26,13.114
27,13.286
28,13.434
29,13.590
30,13.748
31,13.915
32,14.064
33,14.224
34,14.363
35,14.514
36,14.643
37,14.790
38,14.940
39,15.105
40,15.265
41,15.397
42,15.571
43,15.712
44,15.859
45,16.009
46,16.141
47,16.265
48,16.418
49,16.589
50,16.759
51,16.917
52,17.088
53,17.264
54,17.418
55,17.597
56,17.780
57,17.990
58,18.179
59,18.372
60,18.547
61,18.776
62,18.978
63,19.203
64,19.396
65,19.624
66,19.804
67,20.013
68,20.210
69,20.413
70,20.620
71,20.826
72,21.104
73,21.333
74,21.599
75,21.878
76,22.176
77,22.565
78,22.930
79,23.323
80,23.732
81,24.166
82,24.612
83,25.087
84,25.658
85,26.400
86,27.093
87,27.733
88,28.451
89,29.504
90,30.786
91,32.447
92,34.711
93,36.939
94,39.554
95,43.067
96,47.235
97,53.796
98,67.580
99,125.837
100,15402.274
