Percentage served,Time in ms
0,5.202
1,6.557
2,7.036
3,7.356
4,7.658
5,7.891
6,8.172
7,8.379
8,8.565
9,8.759
10,8.937
11,9.094
12,9.243
13,9.447
14,9.594
15,9.734
16,9.859
17,10.008
18,10.139
19,10.250
20,10.364
21,10.475
22,10.603
23,10.727
24,10.862
25,11.007
26,11.125
27,11.247
28,11.376
29,11.479
30,11.575
31,11.701
32,11.820
33,11.950
34,12.068
35,12.182
36,12.311
37,12.454
38,12.581
39,12.724
40,12.843
41,12.973
42,13.084
43,13.208
44,13.308
45,13.449
46,13.582
47,13.692
48,13.818
49,13.942
50,14.072
51,14.183
52,14.320
53,14.420
54,14.561
55,14.688
56,14.806
57,14.965
58,15.121
59,15.245
60,15.385
61,15.525
62,15.646
63,15.799
64,15.938
65,16.090
66,16.232
67,16.391
68,16.562
69,16.743
70,16.931
71,17.085
72,17.251
73,17.443
74,17.642
75,17.863
76,18.051
77,18.269
78,18.477
79,18.640
80,18.912
81,19.162
82,19.429
83,19.746
84,20.038
85,20.357
86,20.689
87,21.054
88,21.394
89,21.844
90,22.314
91,22.911
92,23.543
93,24.342
94,25.349
95,26.520
96,28.093
97,30.913
98,36.675
99,64.985
100,3157.442
