starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 01:05:28 2022	1653174328	0	4	5	4
Sun May 22 01:05:20 2022	1653174320	0	5	5	5
Sun May 22 01:05:30 2022	1653174330	0	5	5	5
Sun May 22 01:05:31 2022	1653174331	0	5	5	5
Sun May 22 01:05:30 2022	1653174330	1	5	5	5
Sun May 22 01:05:29 2022	1653174329	1	5	5	5
Sun May 22 01:05:20 2022	1653174320	0	5	6	5
Sun May 22 01:05:21 2022	1653174321	1	5	6	5
Sun May 22 01:05:19 2022	1653174319	1	5	6	5
Sun May 22 01:05:28 2022	1653174328	1	5	6	5
Sun May 22 01:05:27 2022	1653174327	1	5	6	4
Sun May 22 01:05:26 2022	1653174326	0	5	6	5
Sun May 22 01:05:20 2022	1653174320	1	5	6	5
Sun May 22 01:05:25 2022	1653174325	1	5	6	5
Sun May 22 01:05:19 2022	1653174319	1	5	6	5
Sun May 22 01:05:20 2022	1653174320	1	5	6	5
Sun May 22 01:05:20 2022	1653174320	0	5	6	5
Sun May 22 01:05:26 2022	1653174326	0	5	6	4
Sun May 22 01:05:20 2022	1653174320	1	5	6	5
Sun May 22 01:05:22 2022	1653174322	0	5	6	5
Sun May 22 01:05:32 2022	1653174332	1	5	6	4
Sun May 22 01:05:29 2022	1653174329	1	5	6	5
Sun May 22 01:05:27 2022	1653174327	1	5	6	5
Sun May 22 01:05:20 2022	1653174320	1	5	6	5
Sun May 22 01:05:24 2022	1653174324	1	5	6	5
Sun May 22 01:05:22 2022	1653174322	1	5	6	4
Sun May 22 01:05:20 2022	1653174320	1	5	6	5
Sun May 22 01:05:30 2022	1653174330	1	5	6	5
Sun May 22 01:05:25 2022	1653174325	1	5	6	5
Sun May 22 01:05:26 2022	1653174326	0	6	6	4
Sun May 22 01:05:20 2022	1653174320	1	5	6	5
Sun May 22 01:05:19 2022	1653174319	1	5	6	5
Sun May 22 01:05:24 2022	1653174324	1	5	6	5
Sun May 22 01:05:29 2022	1653174329	1	5	6	5
Sun May 22 01:05:25 2022	1653174325	1	5	6	5
Sun May 22 01:05:28 2022	1653174328	1	5	6	5
Sun May 22 01:05:20 2022	1653174320	0	6	6	5
Sun May 22 01:05:21 2022	1653174321	1	5	6	5
