Percentage served,Time in ms
0,5.169
1,6.476
2,6.915
3,7.209
4,7.499
5,7.727
6,7.991
7,8.184
8,8.401
9,8.588
10,8.763
11,8.939
12,9.077
13,9.228
14,9.377
15,9.514
16,9.652
17,9.784
18,9.927
19,10.057
20,10.190
21,10.329
22,10.444
23,10.574
24,10.688
25,10.800
26,10.933
27,11.059
28,11.186
29,11.293
30,11.400
31,11.499
32,11.613
33,11.709
34,11.814
35,11.922
36,12.036
37,12.132
38,12.230
39,12.344
40,12.449
41,12.554
42,12.668
43,12.773
44,12.889
45,13.009
46,13.117
47,13.228
48,13.336
49,13.464
50,13.550
51,13.671
52,13.800
53,13.915
54,14.033
55,14.158
56,14.306
57,14.420
58,14.546
59,14.676
60,14.812
61,14.942
62,15.063
63,15.200
64,15.339
65,15.496
66,15.622
67,15.768
68,15.894
69,16.047
70,16.206
71,16.355
72,16.528
73,16.700
74,16.908
75,17.099
76,17.302
77,17.511
78,17.690
79,17.940
80,18.168
81,18.413
82,18.664
83,18.926
84,19.213
85,19.581
86,19.908
87,20.229
88,20.759
89,21.295
90,21.810
91,22.398
92,23.296
93,24.308
94,25.512
95,26.976
96,29.136
97,32.171
98,39.003
99,118.069
100,3162.852
