starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 01:07:34 2022	1653174454	1	4	5	4
Sun May 22 01:07:33 2022	1653174453	0	5	5	5
Sun May 22 01:07:21 2022	1653174441	0	5	5	5
Sun May 22 01:07:32 2022	1653174452	0	5	6	5
Sun May 22 01:07:19 2022	1653174439	0	5	6	5
Sun May 22 01:07:21 2022	1653174441	1	5	6	5
Sun May 22 01:07:42 2022	1653174462	1	5	6	5
Sun May 22 01:07:31 2022	1653174451	1	5	6	5
Sun May 22 01:07:39 2022	1653174459	0	5	6	5
Sun May 22 01:07:31 2022	1653174451	0	5	6	5
Sun May 22 01:07:19 2022	1653174439	1	5	6	5
Sun May 22 01:07:28 2022	1653174448	0	5	6	5
Sun May 22 01:07:35 2022	1653174455	1	5	6	5
Sun May 22 01:07:42 2022	1653174462	1	5	6	4
Sun May 22 01:07:34 2022	1653174454	1	5	6	5
Sun May 22 01:07:32 2022	1653174452	1	5	6	5
Sun May 22 01:07:27 2022	1653174447	1	5	6	5
Sun May 22 01:07:38 2022	1653174458	1	5	6	5
Sun May 22 01:07:26 2022	1653174446	1	5	6	5
Sun May 22 01:07:21 2022	1653174441	1	5	6	4
Sun May 22 01:07:37 2022	1653174457	0	6	6	6
Sun May 22 01:07:35 2022	1653174455	1	5	6	5
Sun May 22 01:07:27 2022	1653174447	1	5	6	5
Sun May 22 01:07:34 2022	1653174454	0	6	6	5
Sun May 22 01:07:18 2022	1653174438	1	6	6	6
Sun May 22 01:07:24 2022	1653174444	1	6	6	4
Sun May 22 01:07:27 2022	1653174447	0	6	6	6
Sun May 22 01:07:40 2022	1653174460	0	6	6	4
Sun May 22 01:07:35 2022	1653174455	1	5	6	5
Sun May 22 01:07:38 2022	1653174458	1	6	6	6
Sun May 22 01:07:25 2022	1653174445	1	6	6	4
Sun May 22 01:07:29 2022	1653174449	1	6	6	5
Sun May 22 01:07:37 2022	1653174457	1	6	6	6
Sun May 22 01:07:31 2022	1653174451	0	6	6	4
Sun May 22 01:07:28 2022	1653174448	1	6	6	6
Sun May 22 01:07:23 2022	1653174443	1	6	6	4
Sun May 22 01:07:19 2022	1653174439	1	6	6	5
Sun May 22 01:07:39 2022	1653174459	1	6	6	4
Sun May 22 01:07:31 2022	1653174451	1	6	6	4
Sun May 22 01:07:31 2022	1653174451	1	6	6	6
Sun May 22 01:07:41 2022	1653174461	1	6	7	5
Sun May 22 01:07:40 2022	1653174460	0	6	7	6
Sun May 22 01:07:37 2022	1653174457	1	6	7	6
Sun May 22 01:07:40 2022	1653174460	1	6	7	6
Sun May 22 01:07:37 2022	1653174457	0	6	7	6
Sun May 22 01:07:34 2022	1653174454	1	6	7	6
Sun May 22 01:07:21 2022	1653174441	0	6	7	6
Sun May 22 01:07:39 2022	1653174459	1	6	7	6
Sun May 22 01:07:28 2022	1653174448	1	6	7	6
Sun May 22 01:07:34 2022	1653174454	1	6	7	6
Sun May 22 01:07:41 2022	1653174461	1	6	7	6
Sun May 22 01:07:34 2022	1653174454	1	5	7	5
Sun May 22 01:07:24 2022	1653174444	1	6	7	5
Sun May 22 01:07:37 2022	1653174457	1	6	7	5
Sun May 22 01:07:18 2022	1653174438	1	6	7	6
Sun May 22 01:07:30 2022	1653174450	1	6	7	6
Sun May 22 01:07:27 2022	1653174447	1	6	7	6
Sun May 22 01:07:31 2022	1653174451	0	6	7	6
Sun May 22 01:07:31 2022	1653174451	0	6	7	4
Sun May 22 01:07:27 2022	1653174447	0	6	7	6
Sun May 22 01:07:21 2022	1653174441	1	6	7	6
Sun May 22 01:07:28 2022	1653174448	0	6	7	6
Sun May 22 01:07:30 2022	1653174450	1	6	7	6
Sun May 22 01:07:38 2022	1653174458	0	6	7	6
Sun May 22 01:07:23 2022	1653174443	0	6	7	5
Sun May 22 01:07:33 2022	1653174453	1	6	7	6
Sun May 22 01:07:31 2022	1653174451	1	6	7	6
Sun May 22 01:07:38 2022	1653174458	1	6	7	6
Sun May 22 01:07:38 2022	1653174458	1	6	7	6
Sun May 22 01:07:37 2022	1653174457	1	6	7	6
Sun May 22 01:07:29 2022	1653174449	1	6	7	6
Sun May 22 01:07:35 2022	1653174455	1	6	7	6
Sun May 22 01:07:33 2022	1653174453	1	6	7	6
Sun May 22 01:07:28 2022	1653174448	1	6	7	6
Sun May 22 01:07:19 2022	1653174439	0	6	7	3
Sun May 22 01:07:28 2022	1653174448	0	7	7	6
Sun May 22 01:07:19 2022	1653174439	0	6	7	5
Sun May 22 01:07:37 2022	1653174457	1	6	7	6
Sun May 22 01:07:37 2022	1653174457	1	6	7	6
Sun May 22 01:07:19 2022	1653174439	1	6	7	6
Sun May 22 01:07:33 2022	1653174453	0	6	7	6
Sun May 22 01:07:39 2022	1653174459	0	6	7	4
Sun May 22 01:07:24 2022	1653174444	0	6	7	4
Sun May 22 01:07:41 2022	1653174461	1	6	7	6
Sun May 22 01:07:38 2022	1653174458	1	6	7	6
Sun May 22 01:07:29 2022	1653174449	1	6	7	6
Sun May 22 01:07:21 2022	1653174441	1	6	7	6
Sun May 22 01:07:31 2022	1653174451	0	7	7	4
Sun May 22 01:07:33 2022	1653174453	1	6	7	4
Sun May 22 01:07:37 2022	1653174457	1	6	7	6
Sun May 22 01:07:26 2022	1653174446	1	6	7	6
Sun May 22 01:07:36 2022	1653174456	1	6	7	6
Sun May 22 01:07:31 2022	1653174451	1	6	7	6
Sun May 22 01:07:36 2022	1653174456	1	6	7	5
Sun May 22 01:07:33 2022	1653174453	1	6	7	6
Sun May 22 01:07:34 2022	1653174454	1	6	7	6
Sun May 22 01:07:29 2022	1653174449	1	6	7	6
Sun May 22 01:07:41 2022	1653174461	0	6	7	6
Sun May 22 01:07:31 2022	1653174451	1	6	7	6
Sun May 22 01:07:37 2022	1653174457	1	6	7	6
Sun May 22 01:07:31 2022	1653174451	1	6	7	6
Sun May 22 01:07:36 2022	1653174456	1	6	7	6
Sun May 22 01:07:21 2022	1653174441	1	6	7	6
Sun May 22 01:07:41 2022	1653174461	1	6	7	6
Sun May 22 01:07:31 2022	1653174451	1	6	7	6
Sun May 22 01:07:38 2022	1653174458	1	6	7	4
Sun May 22 01:07:37 2022	1653174457	0	6	7	4
Sun May 22 01:07:31 2022	1653174451	1	6	7	6
Sun May 22 01:07:34 2022	1653174454	0	7	7	6
Sun May 22 01:07:34 2022	1653174454	0	6	7	6
Sun May 22 01:07:20 2022	1653174440	1	6	7	6
Sun May 22 01:07:39 2022	1653174459	1	6	7	4
Sun May 22 01:07:28 2022	1653174448	1	6	7	4
Sun May 22 01:07:24 2022	1653174444	0	6	7	5
Sun May 22 01:07:27 2022	1653174447	1	6	7	6
